,check,id,Confidences,Sentimentt,Kalimat,Sentimen Manusia,Kalimat utuh,Typo,Slang Word,Mix Languange,Ambigu,Cuma kata,Terlalu Panjang,Sarkas/Satire
0,True,0,0.9841673970222473,negative,"Apakah aku harus membenturkan kepalamu ke tembok, agar kau menyadari kesalahan yang kau buat itu?",negative,True,False,False,False,False,False,False,True
1,True,1,0.9167790412902832,neutral,Saya ingin membandingkan dengan asuransi perusahaan lain,neutral,True,False,False,False,False,False,False,False
2,True,2,0.9971188306808472,neutral,Apakah anda bisa membantu saya menghubungkan rekening saya ke perbankan mobile?,neutral,True,False,False,False,False,False,False,False
3,True,3,0.9955984354019165,neutral,Bagaimana saya mengakses rekening bank saya secara online?,neutral,True,False,False,False,False,False,False,True
4,True,4,0.5157608985900879,neutral,Apa kamu tidak memiliki baju lain? setiap kali kita pergi kau selalu mengenakan pakaian yang sama,negative,True,False,False,False,False,False,False,False
5,True,5,0.8455995321273804,negative,Bro woles aja bro ngopi dulu kita kerjanya lanjut nanti aja,positive,True,False,True,False,False,False,False,False
6,True,6,0.994951605796814,positive,Rokum lu bagus banget bro,positive,True,False,True,False,False,False,False,False
7,True,7,0.8603492975234985,positive,Ingga,neutral,False,True,False,False,False,True,False,False
8,True,8,0.952538251876831,negative,Rajin sekali penghuni rumah ini sampai kaca penuh dihiasi oleh debu.,negative,True,False,False,False,False,False,False,True
9,True,9,0.9886549711227417,negative,"Dari tadi tidak ada yang menjawab salamku, apakah telinga kalian hanya berupa pajangan saja?",negative,True,False,False,False,False,False,False,True
10,True,10,0.9438421726226807,neutral,Apotik yang ogut datangi tadi sudah close bro,positive,True,True,True,True,False,False,False,False
11,True,11,0.9976291060447693,neutral,Saya ingin membuka rekening bank,positive,True,False,False,False,False,False,False,False
12,True,12,0.9956412315368652,negative,"Kamu sekarang buta warna ya? Sudah tahu tadi lampu merah, eh kau malah seenaknya menerobos.",negative,True,False,False,False,False,False,False,False
13,True,13,0.9600453972816467,negative,You besok sabi ga datang kerumah gweh?,neutral,True,True,True,True,False,False,False,False
14,True,14,0.9912484884262085,neutral,Kak kirim pap terbaru dong,positive,True,True,True,True,False,False,False,False
15,True,15,0.9950141310691833,neutral,Saya ingin menawarkan anda promosi asuransi jiwa,positive,True,False,False,False,False,False,False,False
16,True,16,0.8948670625686646,neutral,Oh sepertinya saya tidak bisa membelinya maaf namun terima kasih atas tawarannya.,negative,True,False,False,False,False,False,False,False
17,True,17,0.9965409636497498,positive,"Sudah punya squishy yang lembut dan wangi? Tidak hanya lucu, squishy imut yang satu ini juga cocok untuk menambah koleksimu!",positive,True,False,False,False,False,False,False,False
18,True,18,0.6212975382804871,neutral,Harga spesial! Dapatkan promo cashback sebesar 20% jika belanja sebesar Rp150.000.,positive,True,False,False,True,False,False,False,False
19,True,19,0.9922046661376953,neutral,"Setiap membeli makanan minimal Rp75.000, dapatkan voucher diskon listrik sebesar Rp25.000.",positive,True,False,False,False,False,False,False,False
20,True,20,0.6209601163864136,positive,Gunakan sampo kami secara rutin minimal sekali dalam seminggu. Ketombe pun akan berangsur-angsur hilang dari kulit kepalamu,positive,True,False,False,False,False,False,False,False
