,check,id,Kalimat,Sentimen Manusia,Sentiment,Confidences,Kalimat utuh,Typo,Slang Word,Mix Languange,Ambigu,Cuma kata,Terlalu Panjang,Sarkas/Satire
0,True,0,"Apakah aku harus membenturkan kepalamu ke tembok, agar kau menyadari kesalahan yang kau buat itu?",negative,negative,0.9841673970222473,True,False,False,False,False,False,False,True
1,True,1,Saya ingin membandingkan dengan asuransi perusahaan lain,neutral,neutral,0.9167790412902832,True,False,False,False,False,False,False,False
2,True,2,Apakah anda bisa membantu saya menghubungkan rekening saya ke perbankan mobile?,neutral,neutral,0.9971188306808472,True,False,False,False,False,False,False,False
3,True,3,Bagaimana saya mengakses rekening bank saya secara online?,neutral,neutral,0.9955984354019165,True,False,False,False,False,False,False,True
4,True,4,Apa kamu tidak memiliki baju lain? setiap kali kita pergi kau selalu mengenakan pakaian yang sama,negative,neutral,0.5157608985900879,True,False,False,False,False,False,False,False
5,True,5,Bro woles aja bro ngopi dulu kita kerjanya lanjut nanti aja,positive,negative,0.8455995321273804,True,False,True,False,False,False,False,False
6,True,6,Rokum lu bagus banget bro,positive,positive,0.994951605796814,True,False,True,False,False,False,False,False
7,True,7,Ingga,neutral,positive,0.8603492975234985,False,True,False,False,False,True,False,False
8,True,8,Rajin sekali penghuni rumah ini sampai kaca penuh dihiasi oleh debu.,negative,negative,0.952538251876831,True,False,False,False,False,False,False,True
9,True,9,"Dari tadi tidak ada yang menjawab salamku, apakah telinga kalian hanya berupa pajangan saja?",negative,negative,0.9886549711227417,True,False,False,False,False,False,False,True
10,True,10,Apotik yang ogut datangi tadi sudah close bro,positive,neutral,0.9438421726226807,True,True,True,True,False,False,False,False
11,True,11,Saya ingin membuka rekening bank,positive,neutral,0.9976291060447693,True,False,False,False,False,False,False,False
12,True,12,"Kamu sekarang buta warna ya? Sudah tahu tadi lampu merah, eh kau malah seenaknya menerobos.",negative,negative,0.9956412315368652,True,False,False,False,False,False,False,False
13,True,13,You besok sabi ga datang kerumah gweh?,neutral,negative,0.9600453972816467,True,True,True,True,False,False,False,False
14,True,14,Kak kirim pap terbaru dong,positive,neutral,0.9912484884262085,True,True,True,True,False,False,False,False
15,True,15,Saya ingin menawarkan anda promosi asuransi jiwa,positive,neutral,0.9950141310691833,True,False,False,False,False,False,False,False
16,True,16,Oh sepertinya saya tidak bisa membelinya maaf namun terima kasih atas tawarannya.,negative,neutral,0.8948670625686646,True,False,False,False,False,False,False,False
17,True,17,"Sudah punya squishy yang lembut dan wangi? Tidak hanya lucu, squishy imut yang satu ini juga cocok untuk menambah koleksimu!",positive,positive,0.9965409636497498,True,False,False,False,False,False,False,False
18,True,18,Harga spesial! Dapatkan promo cashback sebesar 20% jika belanja sebesar Rp150.000.,positive,neutral,0.6212975382804871,True,False,False,True,False,False,False,False
19,True,19,"Setiap membeli makanan minimal Rp75.000, dapatkan voucher diskon listrik sebesar Rp25.000.",positive,neutral,0.9922046661376953,True,False,False,False,False,False,False,False
20,True,20,Gunakan sampo kami secara rutin minimal sekali dalam seminggu. Ketombe pun akan berangsur-angsur hilang dari kulit kepalamu,positive,positive,0.6209601163864136,True,False,False,False,False,False,False,False
21,True,21,Nikmati diskon hingga 50% dari tanggal 1 sampai 10 Januari 2022. Segera dapatkan produknya selama persediaan masih ada!,neutral,neutral,0.6966889500617981,True,False,False,False,False,False,False,False
22,True,22,"Deterjen ini dibuat untuk dapat menghilangkan noda membandel pada pakaian. Cukup kucek sedikit, nodanya akan cepat menghilang!",positive,positive,0.7775810360908508,True,False,False,False,False,False,False,False
23,True,23,Dia memotong daging dengan pisau yang tumpul,neutral,negative,0.9479791522026062,True,False,False,False,True,False,False,False
24,True,24,Dia datang ke sini untuk memberi tahu,neutral,neutral,0.9840982556343079,True,False,False,False,True,False,False,False
25,True,25,Dosen Asma sedang makan malam bersama keluarga,neutral,neutral,0.9975812435150146,True,False,False,False,True,False,False,False
26,True,26,"Baik Maria, alasan saya menghubungi Anda adalah untuk membicarakan bagaimana Anda bisa melindungi diri sendiri dan keluarga tercinta apabila terjadi sesuatu yang mengharuskan Anda berhenti dari pekerjaan saat ini. Artinya, Anda kehilangan sumber pendapatan setelah terjadinya hal yang tidak diinginkan. Pada dasarnya, memang tidak ada manusia yang ingin terkena musibah namun hidup sungguh tidak bisa kita prediksi. Kecelakaan atau sakit yang secara tiba-tiba mungkin mengharuskan Anda untuk beristirahat dari pekerjaan dalam hitungan minggu atau bahkan beberapa bulan. Melalui proteksi pendapatan atau income, Anda akan tetap mendapatkan pendapatan sebagaimana biasanya meski dalam kondisi tidak dapat bekerja. Proteksi tersebut memungkinkan Anda dan keluarga tersayang fokus pada proses penyembuhan tanpa harus mengkhawatirkan kondisi finansial. Apakah Anda bersedia untuk membicarakan lebih lanjut?",neutral,positive,0.7183651924133301,True,False,False,False,False,False,True,False
27,True,27,Aku tak heran jika dia gagal ujian. Otak dungu seperti dia tak akan mampu lulus ujian tanpa mencontek dan bantuan dari orang lain.,negative,negative,0.9947892427444458,True,False,False,False,False,False,False,True
